,index,energy,energy_error,gradient_error
121,60,-22331.24678383,0.00022,0.0027
122,61,-22331.24691206,0.00013,0.0022
123,62,-22331.24707465,0.00016,0.0036
124,63,-22331.24730205,0.00023,0.0054
125,64,-22331.24753971,0.00024,0.0054
126,65,-22331.24775217,0.00021,0.0029
127,66,-22331.24795245,0.0002,0.0022
128,67,-22331.24809434,0.00014,0.003
129,68,-22331.24824158,0.00015,0.0028
130,69,-22331.24842071,0.00018,0.0027
131,70,-22331.24861897,0.0002,0.0029
132,71,-22331.24879724,0.00018,0.0032
133,72,-22331.24898585,0.00019,0.0029
134,73,-22331.24916655,0.00018,0.0027
135,74,-22331.24935904,0.00019,0.0026
136,75,-22331.2495102,0.00015,0.0036
137,76,-22331.24965469,0.00014,0.004
138,77,-22331.24987954,0.00022,0.0028
139,78,-22331.25004907,0.00017,0.0025
140,79,-22331.25021304,0.00016,0.0025
141,80,-22331.25036156,0.00015,0.0033
142,81,-22331.25048705,0.00013,0.0029
143,82,-22331.25060064,0.00011,0.002
144,83,-22331.25069594,9.5e-05,0.0022
145,84,-22331.25079822,0.0001,0.0034
146,85,-22331.25091229,0.00011,0.0038
147,86,-22331.25099763,8.5e-05,0.0023
148,87,-22331.25105922,6.2e-05,0.0017
149,88,-22331.25109172,3.3e-05,0.0014
150,89,-22331.25112232,3.1e-05,0.002
151,90,-22331.25115121,2.9e-05,0.0017
152,91,-22331.25117127,2e-05,0.0016
153,92,-22331.25118759,1.6e-05,0.0013
154,93,-22331.25121104,2.3e-05,0.0016
155,94,-22331.25122405,1.3e-05,0.0015
156,95,-22331.2512393,1.5e-05,0.00096
157,96,-22331.25125893,2e-05,0.00094
158,97,-22331.25127396,1.5e-05,0.00085
159,98,-22331.25128877,1.5e-05,0.00073
160,99,-22331.25130116,1.2e-05,0.00061
161,0,-22331.25130975,0.0,0.00089
162,1,-22331.25131201,2.3e-06,0.002
163,2,-22331.25131347,1.5e-06,0.0042
164,3,-22331.25132001,6.5e-06,0.0015
165,4,-22331.25132347,3.5e-06,0.00071
166,5,-22331.25132719,3.7e-06,0.00042
