,index,energy,energy_error,gradient_error
55,55,-22198.56469502,9.8e-05,0.0015
56,56,-22198.56475172,5.7e-05,0.0031
57,57,-22198.56480675,5.5e-05,0.002
58,58,-22198.56483947,3.3e-05,0.0034
59,59,-22198.56492736,8.8e-05,0.0024
60,60,-22198.56500948,8.2e-05,0.0021
61,61,-22198.56505119,4.2e-05,0.0018
62,62,-22198.56514625,9.5e-05,0.0015
63,63,-22198.56523613,9e-05,0.0014
64,64,-22198.56535711,0.00012,0.0016
65,65,-22198.56550895,0.00015,0.0024
66,66,-22198.56570624,0.0002,0.0033
67,67,-22198.56589022,0.00018,0.0028
68,68,-22198.56613854,0.00025,0.0023
69,69,-22198.56654925,0.00041,0.0048
70,70,-22198.56682808,0.00028,0.0069
71,71,-22198.56706539,0.00024,0.0037
72,72,-22198.56739862,0.00033,0.0035
73,73,-22198.56762286,0.00022,0.0036
74,74,-22198.56818516,0.00056,0.0033
75,75,-22198.5688152,0.00063,0.004
76,76,-22198.56951762,0.0007,0.0063
77,77,-22198.57012425,0.00061,0.0065
78,78,-22198.57089711,0.00077,0.0043
79,79,-22198.57170531,0.00081,0.0051
80,80,-22198.57230379,0.0006,0.0046
81,81,-22198.57276389,0.00046,0.0041
82,82,-22198.5732319,0.00047,0.0043
83,83,-22198.57423867,0.001,0.0046
84,84,-22198.57534969,0.0011,0.0052
85,85,-22198.57608954,0.00074,0.0059
86,86,-22198.57674902,0.00066,0.005
87,87,-22198.57739972,0.00065,0.0052
88,88,-22198.57776422,0.00036,0.0056
89,89,-22198.57833554,0.00057,0.0056
90,90,-22198.57950511,0.0012,0.0045
91,91,-22198.58062113,0.0011,0.0057
92,92,-22198.58176625,0.0011,0.0097
93,93,-22198.5826553,0.00089,0.0078
94,94,-22198.58373152,0.0011,0.0076
95,95,-22198.58509614,0.0014,0.0067
96,96,-22198.5865811,0.0015,0.0056
97,97,-22198.58840251,0.0018,0.0055
98,98,-22198.5901252,0.0017,0.0066
99,99,-22198.59211196,0.002,0.0081
100,0,-22198.593583,0.0,0.01
101,1,-22198.59461941,0.001,0.0083
102,2,-22198.59562583,0.001,0.0074
103,3,-22198.59685337,0.0012,0.0071
104,4,-22198.59817034,0.0013,0.0068
105,5,-22198.59919336,0.001,0.0065
106,6,-22198.59983314,0.00064,0.0065
107,7,-22198.60071998,0.00089,0.0069
108,8,-22198.60188783,0.0012,0.0059
109,9,-22198.60328503,0.0014,0.0055
110,10,-22198.6045028,0.0012,0.0057
111,11,-22198.60521064,0.00071,0.0065
112,12,-22198.60624896,0.001,0.0057
113,13,-22198.60758874,0.0013,0.0068
114,14,-22198.60847341,0.00088,0.0057
115,15,-22198.60909167,0.00062,0.0046
116,16,-22198.60957318,0.00048,0.0037
117,17,-22198.61005616,0.00048,0.0041
118,18,-22198.61048294,0.00043,0.004
119,19,-22198.61084121,0.00036,0.0052
120,20,-22198.6111825,0.00034,0.0058
121,21,-22198.61160426,0.00042,0.0043
122,22,-22198.61198775,0.00038,0.0036
123,23,-22198.61229385,0.00031,0.0033
124,24,-22198.61258395,0.00029,0.0035
125,25,-22198.61287144,0.00029,0.0036
126,26,-22198.61316498,0.00029,0.003
127,27,-22198.61352469,0.00036,0.0028
128,28,-22198.61387755,0.00035,0.0031
129,29,-22198.61409767,0.00022,0.0041
130,30,-22198.61437456,0.00028,0.0041
131,31,-22198.61473614,0.00036,0.0029
132,32,-22198.61503597,0.0003,0.0032
133,33,-22198.61531509,0.00028,0.0032
134,34,-22198.61560094,0.00029,0.0034
135,35,-22198.61599316,0.00039,0.0039
136,36,-22198.61628176,0.00029,0.0032
137,37,-22198.61653415,0.00025,0.0027
138,38,-22198.61673576,0.0002,0.0025
139,39,-22198.61686827,0.00013,0.0031
140,40,-22198.61702702,0.00016,0.003
141,41,-22198.61719748,0.00017,0.0026
142,42,-22198.61731946,0.00012,0.002
143,43,-22198.61738545,6.6e-05,0.0017
144,44,-22198.61746973,8.4e-05,0.0015
145,45,-22198.61755059,8.1e-05,0.0017
146,46,-22198.61762627,7.6e-05,0.0015
147,47,-22198.61767517,4.9e-05,0.0012
148,48,-22198.61770759,3.2e-05,0.0015
149,49,-22198.61773789,3e-05,0.0016
150,50,-22198.61778003,4.2e-05,0.0016
151,51,-22198.61783333,5.3e-05,0.0012
152,52,-22198.61786589,3.3e-05,0.00095
153,53,-22198.61789234,2.6e-05,0.0012
154,54,-22198.61792678,3.4e-05,0.0014
155,55,-22198.6179606,3.4e-05,0.001
156,56,-22198.61799135,3.1e-05,0.00092
157,57,-22198.61801749,2.6e-05,0.0012
158,58,-22198.61804702,3e-05,0.0014
159,59,-22198.61808138,3.4e-05,0.0016
160,60,-22198.61811843,3.7e-05,0.0016
161,61,-22198.61816831,5e-05,0.0015
162,62,-22198.61821466,4.6e-05,0.0013
163,63,-22198.61825044,3.6e-05,0.002
164,64,-22198.61829657,4.6e-05,0.0014
165,65,-22198.61833791,4.1e-05,0.0012
166,66,-22198.61838914,5.1e-05,0.00098
167,67,-22198.61845677,6.8e-05,0.0011
168,68,-22198.61852686,7e-05,0.0015
169,69,-22198.61856158,3.5e-05,0.0014
170,70,-22198.61858634,2.5e-05,0.0015
171,71,-22198.6186391,5.3e-05,0.0015
172,72,-22198.61870444,6.5e-05,0.0017
173,73,-22198.61879494,9.1e-05,0.0021
174,74,-22198.61884379,4.9e-05,0.0025
175,75,-22198.6188981,5.4e-05,0.002
176,76,-22198.61894641,4.8e-05,0.0044
177,77,-22198.61901536,6.9e-05,0.0032
178,78,-22198.61905915,4.4e-05,0.0025
