,index,energy,energy_error,gradient_error
66,66,-22198.79622552,5.9e-05,0.0022
67,67,-22198.79635032,0.00012,0.0028
68,68,-22198.79655852,0.00021,0.0031
69,69,-22198.79685521,0.0003,0.0036
70,70,-22198.79705521,0.0002,0.0038
71,71,-22198.79761253,0.00056,0.01
72,72,-22198.79817662,0.00056,0.0067
73,73,-22198.79942297,0.0012,0.021
74,74,-22198.8011241,0.0017,0.016
75,75,-22198.80259063,0.0015,0.0063
76,76,-22198.80496498,0.0024,0.012
77,0,-22198.8077,0.0,0.011
78,1,-22198.80832712,0.00063,0.0084
79,2,-22198.80943489,0.0011,0.015
80,3,-22198.81048079,0.001,0.012
81,4,-22198.81131405,0.00083,0.0075
82,5,-22198.8116574,0.00034,0.0056
83,6,-22198.81233188,0.00067,0.0097
84,7,-22198.81312579,0.00079,0.0089
85,8,-22198.81386384,0.00074,0.0059
86,9,-22198.81416706,0.0003,0.0045
87,10,-22198.81459997,0.00043,0.0047
88,11,-22198.81533147,0.00073,0.006
89,12,-22198.81600506,0.00067,0.0084
90,13,-22198.81637958,0.00037,0.0074
91,14,-22198.81688221,0.0005,0.0064
92,15,-22198.81732038,0.00044,0.009
93,16,-22198.81777299,0.00045,0.0072
94,17,-22198.81810885,0.00034,0.0086
95,18,-22198.8186355,0.00053,0.0073
96,19,-22198.81901089,0.00038,0.0081
97,20,-22198.8193849,0.00037,0.0068
98,21,-22198.81967765,0.00029,0.0038
99,22,-22198.81992969,0.00025,0.0047
100,23,-22198.82014571,0.00022,0.0068
101,24,-22198.82034552,0.0002,0.0081
102,25,-22198.82068529,0.00034,0.0081
103,26,-22198.82097971,0.00029,0.0055
104,27,-22198.8212222,0.00024,0.0036
105,28,-22198.82141218,0.00019,0.0033
106,29,-22198.82169232,0.00028,0.0062
107,0,-22198.82203575,0.0,0.0079
108,1,-22198.8221574,0.00012,0.0049
109,2,-22198.82233443,0.00018,0.0059
110,3,-22198.82250439,0.00017,0.0047
111,4,-22198.82265395,0.00015,0.0046
112,5,-22198.82277544,0.00012,0.0073
113,6,-22198.82293474,0.00016,0.0051
114,7,-22198.82311803,0.00018,0.0025
115,8,-22198.82326098,0.00014,0.0019
116,9,-22198.82334354,8.3e-05,0.0037
117,10,-22198.82343655,9.3e-05,0.0042
118,11,-22198.82357296,0.00014,0.0037
119,12,-22198.82370299,0.00013,0.0022
120,13,-22198.82377202,6.9e-05,0.0021
121,14,-22198.82385074,7.9e-05,0.0024
122,15,-22198.82394978,9.9e-05,0.0039
123,16,-22198.82405377,0.0001,0.0036
124,17,-22198.82415557,0.0001,0.0021
125,18,-22198.82426071,0.00011,0.0018
126,19,-22198.82434434,8.4e-05,0.0027
127,20,-22198.82445659,0.00011,0.0041
128,21,-22198.82457626,0.00012,0.0037
129,22,-22198.82469081,0.00011,0.0023
130,23,-22198.82476817,7.7e-05,0.0023
131,24,-22198.82483992,7.2e-05,0.0024
132,25,-22198.82495871,0.00012,0.0038
133,26,-22198.82507753,0.00012,0.0036
134,27,-22198.8251636,8.6e-05,0.0015
135,28,-22198.82522613,6.3e-05,0.0018
136,29,-22198.82527246,4.6e-05,0.0024
137,30,-22198.82532472,5.2e-05,0.0033
138,31,-22198.82539762,7.3e-05,0.0037
139,32,-22198.82549348,9.6e-05,0.0037
140,33,-22198.82561103,0.00012,0.0028
141,34,-22198.82568348,7.2e-05,0.0014
142,35,-22198.82571794,3.4e-05,0.0012
143,36,-22198.82575213,3.4e-05,0.0015
144,37,-22198.82577658,2.4e-05,0.0015
145,38,-22198.82579288,1.6e-05,0.00087
146,39,-22198.82580059,7.7e-06,0.00045
