,index,energy,energy_error,gradient_error
91,66,-22331.21858161,0.0002,0.019
92,67,-22331.21879662,0.00022,0.0073
93,68,-22331.21916768,0.00037,0.0073
94,69,-22331.21948391,0.00032,0.0072
95,70,-22331.22030517,0.00082,0.01
96,71,-22331.22125288,0.00095,0.015
97,72,-22331.22285257,0.0016,0.011
98,73,-22331.2243957,0.0015,0.019
99,74,-22331.2257423,0.0013,0.0098
100,0,-22331.22733052,0.0,0.014
101,1,-22331.22795866,0.00063,0.018
102,2,-22331.22833669,0.00038,0.048
103,3,-22331.22954255,0.0012,0.021
104,4,-22331.23051537,0.00097,0.019
105,5,-22331.23164979,0.0011,0.014
106,6,-22331.23268172,0.001,0.01
107,7,-22331.23346002,0.00078,0.011
108,8,-22331.23415259,0.00069,0.0076
109,9,-22331.23495368,0.0008,0.011
110,10,-22331.23612848,0.0012,0.013
111,11,-22331.23688219,0.00075,0.012
112,12,-22331.23737241,0.00049,0.0062
113,13,-22331.23789904,0.00053,0.0061
114,14,-22331.23848673,0.00059,0.0081
115,15,-22331.2389483,0.00046,0.0091
116,16,-22331.23940445,0.00046,0.005
117,17,-22331.23987168,0.00047,0.0056
118,18,-22331.24028,0.00041,0.0057
119,19,-22331.24075539,0.00048,0.0083
120,20,-22331.24122797,0.00047,0.0075
121,21,-22331.24166371,0.00044,0.0067
122,22,-22331.24209377,0.00043,0.0048
123,23,-22331.24238016,0.00029,0.0041
124,24,-22331.24265828,0.00028,0.0052
125,25,-22331.24301519,0.00036,0.0062
126,26,-22331.24329793,0.00028,0.0045
127,27,-22331.2436562,0.00036,0.005
128,28,-22331.24397786,0.00032,0.0043
129,29,-22331.24430917,0.00033,0.0049
130,30,-22331.24459637,0.00029,0.005
131,31,-22331.24488398,0.00029,0.0039
132,32,-22331.24526774,0.00038,0.0048
133,33,-22331.24568857,0.00042,0.0064
134,34,-22331.24607464,0.00039,0.0046
135,35,-22331.2463837,0.00031,0.0037
136,36,-22331.24668605,0.0003,0.0043
137,37,-22331.24698606,0.0003,0.006
138,38,-22331.2472357,0.00025,0.0054
139,39,-22331.24751963,0.00028,0.0033
140,40,-22331.24776032,0.00024,0.0033
141,41,-22331.24803311,0.00027,0.0055
142,42,-22331.24834648,0.00031,0.0064
143,43,-22331.24859819,0.00025,0.004
144,44,-22331.24881583,0.00022,0.0023
